text,label,char count,source
"Just remembered.I DO like an ale really well too. Called Fat Tire. it is brewed up in denver and therefore I can get it fairly cheap down here. I was kayaking up near Ft Collins , and we stopped at the Mishewaka Inn on the Cache La Poudre river. The waitress was telling us about the beers they had , Fat Tire , Red Ass , and some others , and this buddy of mine told her to give him "" one of those fatass beers "" ! She shoulda drawn hin 1/2 Fat Tire and 1/2 Red Ass , and made him a Fat Ass ale. First Job of Government : Protect people from government. | home.i1.net/ | Second Job of Government : Protect people from each other. | akravetz/mwa.html | It must never become the job of government to protect people from themselves ! 
",1,733,razavai
"In addition , the theory he actually proposed turned out to be false. Wegner proposed that continents plough though the underlying bassalt and mantle. Thats incorrect : they float on it. Yah. But the plates push over and under each other. Wegner was sniffing out something that resembled the facts. Wegners case is an excellent example to aspiring etherialists. He wasnt taken seriously until 1 ) his proposed mechanism was physically plausible , and 2 ) it could be tested. Since LET makes all the same physical predictions of SR , etherialism is not , and fundamentall can not be , analogous to Wegners case. Now there is the main point. The Ether Boys do not offer an hypothesis of any added value , It does not predict any more effectively than non-ether theories. The usual complaint is that the non-ether theories arent physical and that they explain physical reality with equations. Bullshit ! The non ether theories predict the outcome of experiments and observations under stated conditions. The business of science is prediction , not finding the TRUTH. Bob Kolker 
",1,1076,razavai
"Its a dumb question but Could I ? 
",1,35,razavai
"Ladies and Gentlemen , Boys and Girls , Children of All Ages , and Murphy , There is a Psychopath among us ! Oops , flashback. There is a Celebrity among us ! In the category of Usenet Denizen for whom the Most Poems have been Written in Any One Newsgroup : Our Own , The Only , J. R. Sherman ! ( wild applause , whistling , stamping of feet. ) Thank you , thank you. Someone get Ripley on the phone ! Greg , you can do publicity. I dont do publicity. Thats just pimping and implies that jr is a ho. Oh , sorry. jr _is_ a ho. I will do publicity. Greg Jungheim Po-ass/Art-ho i am the ho-est of ho-like-people. i used to be a copywriter. we dont need to go into that period of my life i think. i want to be Kaiser Sosae ! love and kisses , a bitch ho . 
",1,753,razavai
"let me tell you that youre an idiot for making this decision 
",1,62,razavai
"you are lucky , my stupid comps clock keeps telling me it august the 12th every time i boot upguess i ought to change it , or keep reliving august the 12th. Groundhog Day ? I cant even remember if it was a good today to do over and overand out Several hundred grouse will probably tell you it was a very BAD day. ( At least , they would have ) 
",1,345,razavai
"that smelly plan of yours are you still working on it 
",1,55,razavai
"tell us the number you sucker if you know it 
",1,46,razavai
"a microsoft joke you dork 
",1,27,razavai
"i want to tell you that i hate your decision 
",1,46,razavai
"i want to be plain clear that this decision is not acceptable got it 
",1,70,razavai
"[ snip ] Dr. Kerens "" sample of the facts "" is , in this case , a wonderful example of nonsense. With regard to sample of "" fact "" # 6 ( above ) , one must understand that the "" 500,000 "" people supposedly murdered "" till mid-May 1943 "" simply could not have been cremated. This is hilarious ! Andrew Allen admits that the the victims of the typhus epidemic were burned on pyres , but his IHR buddy shows up for his semi-annual "" it is a forgery that doesnt prove what it is supposed to prove , "" all of a sudden typhus victims cant be cremated on pyres because the crematoria werent built yet. The amazing thing is that you guys think your readers are stupid enough to fall for this nonsense. In what way does your reference to the cremation of typhus victims address my concern that 500,000 alleged murder victims could not have been cremated in the ovens of Birkenau ? In what way does your fixation on the crematoria show that bodies could not have been burned at all ? at University of Alberta Multi pertransibunt & augebitur scientia "" Nizkooks are not members of homosapiens. They are members of Judeosapiens. "" Joe Bellinger , May 17 , 1999 . 
",1,1152,razavai
"I remember that show very well ; Montalban waved to Paul Shaffer and remembered when they worked together. I remember Montalban being asked ( dont remember by whom ) why he felt that commercial was so popular and what his inspiration was for his very sexy sounding delivery. He said that he simply imagined he was saying "" Rich Cornithian Leather "" as if he was telling a beautiful woman that he loved her. : I have heard only good things about him. How is his health , btw ? Sandra Doyle She said "" Thanks for saying all the things I never do. "" I said "" The thanks I get is to take all the shit for you. "" - AD Disclaimer : These are my opinions only. But I share . 
",1,669,razavai
"i say gay , like in a happy way. as for where he sticks his thingie , i dont know. "" Remember , when someone annoys you that it takes 42 muscles to frown , but it only takes 4 muscles to extend your arm and whack them in the head. "" 
",1,234,razavai
"i want to have freaking student joke 
",1,38,razavai
"[ SNIP ] Just think how much less bandwidth Tim would create if people didnt reply to him. Yep ! Now might be a time to look up on how to set up killfiles in your newsreader. How about us with newsreaders who keep losing them ? ? ? ? 1 ) use a decent newsreader 2 ) ignore the posts Dont feed the trolls . 
",1,307,razavai
"a microsoft joke you dork 
",1,27,razavai
"i want to tell you that this decision sucks 
",1,45,razavai
"tell us this name sucker do not dissapoint 
",1,44,razavai
"Thats true , Sharon , but I am not the one trying to get everyone to see the face of God when he looks at a convict. All I am asking you to do is to apply the same righteousness to both sides of the fence. CO/LEOs are human beings also. We have feelings , we make mistakes , we do things right , we feel frustration , and we feel joy just like everyone else. It seems everyone gets that "" humans can make mistakes "" unless you wear a badge for a living , then we are supposed to be more professional and/or distanced than to fall prey to that. Ravage The three greatest things in life : To crush your enemies To see them driven before you And to hear the lamentations of their women -Conan the Barbarian I dont have to have a son or daughter working in corrections in order to have empathy for the job prison employees do anymore than I have to have a son or a daughter working at the car plant in order to empathize with the auto workers , Ravage. I dont have to have a loved one incarcerated in order to empathize with the prisoners anymore than I have to have lost a loved one to crime in order to empathize with the victims family. There is absolutely nothing wrong with hoping that I would behave God-like if I were faced with a tragic loss. you are right , I have fortunately never been in a situation like that and by the Grace of God I never will be , but I pray that if it were to happen God would give me the strength to handle it in a God-like manner. So it is not in your job description to see God in the face of prisoners , so what ? That doesnt mean you cant do it. You are so blessed to be in a daily situation where you have the opportunity to show compassion to those whom many would call the least of us. it is a piece of cake to be nice and pleasant to people who are okay-dokey by our standards , but it is the real test of an individuals worth to be able to behave with loving kindness when confronted with those who are despicable in our eyes. Your quip about not judging others that you tossed at me ? I am not the only one who fails at it , sunshine , you do too from the tone of your post ( s ) . 
",1,2124,razavai
"Yet according to the great hero of "" anti- revisionists "" Deborah Lipstadt , "" In contrast , no citizen of the Soviet Union assumed that deportation and death were inevitable consequences of his or her ethnic origins. "" Denying the Holocaust ( p. 212 ) . Her denial of this particular crime against humanity proves that "" anti- revisionists "" are not at all interested in truth or concerned about genocide denial. Dr. Lipstadt has never "" denied "" the murders of Soviet citizens by their own government. Keep lying , Pohl. JGB She denies that there were any murdered on the basis of ethnicity. Cite the evidence that this Dr. Lipstadt has made such a statement. According to her they were all random and arbitrary. Cite the evidence that this Dr. Lipstadt has made such a statement. I am obviously not lying since I am quoting her own words. You have yet to quote anything from Dr. Lipstadt that supports your claims. She does this because in her mind murders based on ethnicity are morally worse than murders committed for other reasons including random and arbitrary quotas. You can demonstrate your telepathic powers under laboratory conditions , I presume ? JGB "" Whats going to happen ? "" "" Something wonderful. "" 2010 
",1,1225,razavai
"Making babies , apparently. The thought is too horrible to even entertain. What sicko is making the beast with two backs with her ? That , I have no idea. Maybe a trawl on the web will turn up the information ? Cheers , Alex Legalise cannabis today ! Got PGP ? Ask me for public key . 
",1,286,razavai
"Ladies and Gentlemen , Boys and Girls , Children of All Ages , and Murphy , There is a Psychopath among us ! Oops , flashback. There is a Celebrity among us ! In the category of Usenet Denizen for whom the Most Poems have been Written in Any One Newsgroup : Our Own , The Only , J. R. Sherman ! ( wild applause , whistling , stamping of feet. ) Thank you , thank you. Someone get Ripley on the phone ! Greg , you can do publicity. I dont do publicity. Thats just pimping and implies that jr is a ho. Oh , sorry. jr _is_ a ho. I will do publicity. Greg Jungheim Po-ass/Art-ho I Smell Money ! Think of the endorsements ! The Book Deals ! The Movie ! ( oops. We did the movie last month. Oh well. ) The MiniSeries ! Joy , youve got casting. Bettina , you start the script. Renay , you can be bodyguard. Everybody get to work ! ( I am in charge of saying that. ) Speech ! Speech ! 
",1,878,razavai
"its like getting upset at ridge or thorn on "" days of our lives "" . What year of Days are they running in the UK ? it is Princess Gina ( a.k.a. Hope ) , Bo , Stefano , John , Marlena , Sammi Austin here. Have you gotten to Kristen yet ? LOL , i dunno , but if you ask any of my girls girlfriends , they will tell you in gory detail. : ) is "" Days "" the show where "" patch "" is back , but only without the patch ? ( days , bold and , etc all meld into one for me whenever i spot them going by ) btw , I am in australia , which , unlike what some moron was trying to tell us a while ago , is not a part of the UK nor is it under lizzys rule. ned kelly. tinhead 
",1,660,razavai
"let me make it clear that your decision is plain stupid 
",1,57,razavai
"Jim is here at the house all afternoon and : we are so itchy to double-team some flames ! Renay and My Bitch Yeah well then there is customs laurel tree , and the cornucopia : of ceremony ones compelled to cross ones arms at. And I am old enough to : be well at least an uncle in Renays case so there you have it. um , uh , er.okay , yeah. you come , too Alf ! Renay Yeah heh ! . . . kinda slides around in your mind , dont it ? Good reference too as the elitists creation STILL slouches off to Bethlehem to be born and things _continue_ to fly apart. . .the center can not hold ? g. Still holding. Visit a Virtual Art Gallery in Cyberspace ! Ponder the Wit & Wisdom of Ching Chow ! View "" Unstill Life "" Animation . . . and more. Consider Matter , Mind & Movement. See the current HTML "" Apology to MW "" with illustration. Take a ride in the Teleporter and check the inexplicable. EXPLORE Alfred Lehmbergs Alien View "" at his Fortunecity URL. Updated 25 September JOHN FORD RESTORATION FUND Send your checks and money orders to _me_ , Alfred Lehmberg ( cut out the lawyers , they got theirs ) at : 304 Melbourne Drive , Enterprise AL , 36330. Strict records kept. $ 350.00 pledged $ 200.00 collected ! "" I cleave the heavens , and soar to the infinite. What others see from afar , I leave far behind me. "" - Giordano Bruno , burned at the fundamentalists stake. Before you buy . 
",1,1381,razavai
"Just re-watched "" Platinum Blonde "" ( 1931 ) . Top billing was Loretta Young ( b 6 Jan 1913 ) . Any recent news on her ? Although Loretta is by no means the oldest living movie star - off the : top of my head Hope , Hepburn , Ebsen , Albert , Sothern are all over 90 - I : wonder if any can match her 80 years since her film debut - 1919 in "" The : Only Way "" as a child on an operating table. Milton Berle was acting in films as a child , beginning in about 1915 or so. Douglas Fairbanks Jr. probably started about the same time as Loretta Young. Both are still alive AFAIK. PS : Is Bob Hope the oldest living major movie star ? What about "" minor "" ones ? OK,I will take my over-90s list and prune out all who dont act,etc. ( If any died lately,please advise ) "" Gin and Kin "" ,Japanese twins born August 1st 1892 ( they do TV commercials,does that count ? ) Dame Ninette de Valois ( June 1898 ) ( were her dance performances ever filmed ? ) Leni Riefenstahl ( Aug 22 1902 ) ( before she turned to directing,she acted ) Bob Hope ( May 29 1903 ) Sir Anthony Havelock-Allan ( Feb 28 1904 ) ( a producer ) Sir John Gielgud ( April 1904 ) Jan 1905 Charles Lane ( well known character actor ) Hildegarde ( Feb 1 1906 ) ( whats she famous for anyway ? ) Billy Wilder ( June 22 1906 ) ( director ) Gertrude Ederle Oct 23 1906 ( was someone saying she acted ? ) Fay Wray ( September 10 1907 ) Sir Run Run Shaw Oct 14 1907 ( Hong Kong filmmaker ) I thought he died. Frances Dee ( November 26 1907 ) Sir John Mills ( February 22 1908 ) John Mills died years ago , no ? Buddy Ebsen ( Apr. 2 1908 ) Eddie Albert ( Apr. 22 1908 ) Milton Berle ( July 12 1908 ) Penny Singleton Sept 15 1908 Arlene Francis ( October 20 1908 ) Imogene Coca ( November 18 1908 ) Victor Borge ( Jan 3 1909 ) Jean-Pierre Aumont ( Jan 5 1909 ) Luise Rainer ( born January 12,1909 ) [ or IS it 1910 ? ] Ann Sothern ( January 22 1909 ) Claire Trevor ( March 8 1909 ) Dolores Hope ( May 27 1909 ) ( was she a performer,or just a famous spouse ? ) 
",1,2010,razavai
"You can catch the updates . . . and the inside story regarding the Challenge . . . by subscribing to The Proving. Click here : Okay , I will sign up. But at the first hint of bullshit , I am outta there1 I get there , sign up , and find one message in the archive , and it contains this : "" Again , where are the peer reviewable reports that Randi , the APS and others claim have been made that conclusively show that psychic phenomenon doesnt exit ? "" The bullshit meter has started jumping already. Dan 
",1,506,razavai
"Thanks for the information. Your sniffing faq answered a lot of fundamental questions I had. To follow up : It appears that you are indeed receiving the initial SYN packet , but that your machine isnt responding with a SYN ACK. This indicates some firewalling going on at the machine itself. However , when I telnet to port 25 from behind the firewall my machine does respond. It is only when I telnet to port 25 from outside the firewall that it doest respond. Is there a reason why my machine would respond to a request from inside the firewall , but not to a request from outside the firewall ? And only do so for port 25 ( port 23 and 110 work fine ) ? thanks. p.s. I am running RedHat Linux 6.0 Is your firewall set to allow traffic through port 25 from the outside ? Most of the firewall setups for home networks are set up to allow unlimited traffic from within the private network , but block traffic from outside except at specified ports. If you only have port 25 set to allow outgoing traffic and incoming traffic with an ack bit , then you need to open port 25 to all traffic , but if you do that make sure your smtp/sendmail is configured to only allow relaying from inside the firewall or from priveledged IPs outside or you will become a spam relay. "" But I have no sexual desire "" Data "" Ah ! Impotence on top of everything ! "" Sigmund Freud ( Phantasms ) 
",1,1373,razavai
"tell us your decision or get out of here take your pick 
",1,57,razavai
"I have heard Bells is good. I havent tried it yet myself. Perhaps I should. Right now im drinking a Summit Alt Bier. Its okay. All this fancy beer talk isnt very punk rock is it ? perhaps I should put my two cents in about Blatz. Blatz is good beer. I like Blatz a lot , and Pabst. there we go. thats better. Topher Fuck thatdrinking good beer is punk as hell. Nobody said it was punk to have bad taste. Beer , meat and green chile are the 3 things I enjoy most in the world yup , that about covers it. of food and drink. I will spend large amounts of money on these things as they keep me happy. Just remembered.I DO like an ale really well too. Called Fat Tire. it is brewed up in denver and therefore I can get it fairly cheap down here. that stuff is spreading like a weed.2 summers ago I would never heard of it , and now it seems to pop up everywhere. I have been getting to try lots of great beers for free lately - archaeologists are alkies and beer snobs. PHIL 8 ) Woowoo Zac 
",1,986,razavai
"i want to know your name idiot 
",1,32,razavai
"a ) this was incredibly dorky b ) the former "" strict "" ( scientific ? mathematical ? historical ? ) definition for century marks and millennia has fallen by the wayside , and it doesnt matter. it is the same thing as the stupid-ass "" emo "" argument. if the overwhelming majority accept a certain meaning for a word , then thats what the TRUE meaning of that word becomes. its a normal function of natural language. BUT , why the hell cant anybody spell the word "" millennium "" correctly ? ? ! ? My my. What would you do if you didnt have me to disagree with Petey. what would you do if you didnt pontificate about armchair socialism on alt.punk so often ? tex , youve failed to realize that our opinions on most of these things dont differ so widely. Anyway , if you had a functioning memory youd know that I was being facetious above anyway. The last time the millennium debate was engaged in here ( at least that I participated in ) I voiced my opinion that since the determination of when the year 1 was in the common era was arbitrarily defined by a monk sometime in the 13th century there is little point in being scientific about when the millennium will turn. well i must have missed that memo. see , we agree AGAIN. thanks. pete ( buttmunch ? come on. ) _ pushovers internet repository : NOTE : this URL will soon change ! "" the light comes in much too early every day. "" 
",1,1382,razavai
"1999 is certainly going to be know as one or the other. There was another quake , in Mexico , a big one , 7.4. Sandra Doyle She said "" Thanks for saying all the things I never do. "" I said "" The thanks I get is to take all the shit for you. "" - AD Disclaimer : These are my opinions only. But I share. Visit my web page : The year of the hurriquake ? Roy Archer 
",1,363,razavai
"i want to know about that foolish plan that you submitted yesterday 
",1,69,razavai
"1 ) Download 2 ) Run/install SWGameEN.exe ( version 3.02 ) 3 ) Then copy SW3dpro.vxd to the windows system dir. Then the OS will see the game controller ! Hope this helps ! P.S. Microsoft committed a large gaffe by not including this vxd file with Win98SE. Chuck , I am waiting for my mx-300 to show-up ( ordered it , it will be here Monday I guess ) , but decided to try the drivers you mentioned above. At the moment , I am using the SB16 joystick port , which works with all joystick gear. Joystick resources are 0201-0201 , no conflicts. The link you offered above ( thanks , hell if I could find it ) , swgameen.exe is version 3.00 , not 3.02. Dunno if that matters much. Also , the sw3dpro.vxd is version 3.00 ( not 3.01 ) . After installing swgameen.exe , my dang rudders -refused- to calibrate. Got rid of the joystick update software ( restored from a backup ) , and all is fine again. Then I got to wondering ; hmm , for all my joystick-gear , I use Microsofts generic "" Gameport Joystick "" driver ( it is listed in System-Resources , also shows-up in the joystick-calibration screen ( in joystick-calibration , there is no other driver option ) . Since you mentioned this sw3pro.vxd , I am wondering if I should "" remove "" the generic Gameport-Joystick , and "" add "" and try this sw3pro.vxd driver ( ? ) . If so , what is the correct Joystick-name ( actually a driver ) to add ? In "" add new hardware "" , after installing the update file above , there are many Microsoft Sidewinder-Pro drivers to choose from. Did I miss a step ? Should I have tried a certain Microsoft JS driver ( other than "" Gameport Joystick "" ) ? Got ta laugh ; this joystick update "" leans "" ( heavily ) on setting up Microsoft joystick/pedals/etc. Adds 17mb to the hard-disk too. It would seem MS would make a "" generic "" joystick update. Otoh. I never installed MSs service pack 2.5 ( for OSR2 ) , as it insists- on installing IE-5 ( which is also a -very- large , proprietary browser ) . Nice update , but I use Netscape. Geez I wish someone made a Joystick update called "" FTFJS "" ( Force the F Joystick ) . Teehole 
",1,2105,razavai
"i want to hear your lame joke 
",1,31,razavai
"i want to know the details of that lame plan that you came up with 
",1,68,razavai
"a student joke you dork 
",1,25,razavai
"I have heard Bells is good. I havent tried it yet myself. Perhaps I should. Right now im drinking a Summit Alt Bier. Its okay. All this fancy beer talk isnt very punk rock is it ? perhaps I should put my two cents in about Blatz. Blatz is good beer. I like Blatz a lot , and Pabst. there we go. thats better. Topher Fuck thatdrinking good beer is punk as hell. Nobody said it was punk to have bad taste. Beer , meat and green chile are the 3 things I enjoy most in the world of food and drink. I will spend large amounts of money on these things as they keep me happy. Just remembered.I DO like an ale really well too. Called Fat Tire. it is brewed up in denver and therefore I can get it fairly cheap down here. Woowoo Zac 
",1,725,razavai
"tell us who on earth gave you the idea to submit that plan 
",1,60,razavai
"TH Hi TH [ SNIP ] TH Just think how much less bandwidth Tim would create if people TH didnt reply to him. TH Now might be a time to look up on how to set up killfiles in your TH newsreader. or how to use private replies . 
",1,223,razavai
"you dare to tell me that this little piece of shit is your grand plan 
",1,71,razavai
"Just like crabs - who put up one helluva fight ! we have always enjoyed "" trout-line "" crabbing , catching a couple bushels in an hour or two , but alas , we sold the boat this year ( to pay for Redskin season tickets ) . No crabs. pout Sandy ( Go Skins ! ) When a lobster dies , the meat starts disintegrating. This happens even in restaurants when lobsters are cooked after they have ( recently ) died. The meat is still good as long as they havent been dead for hours , but sometimes you get a lobster that seems to have very little meat in it. That is the reason. A lobster should be alive and kicking when it goes into the pot. Rhode Islander 
",1,649,razavai
"Jim is here at the house all afternoon and : we are so itchy to double-team some flames ! Renay and My Bitch Yeah well then there is customs laurel tree , and the cornucopia : of ceremony ones compelled to cross ones arms at. And I am old enough to : be well at least an uncle in Renays case so there you have it. um , uh , er.okay , yeah. you come , too Alf ! Renay Yeah heh ! . . . kinda slides around in your mind , dont it ? Good reference too as the elitists creation STILL slouches off to Bethlehem to be born and things _continue_ to fly apart. . .the center can not hold ? g. Still holding. al , you blaspheme Ford , and now Yeats. the Irish are gon na kick your ass. dont say i didnt warn you , dont say "" oh j r , i was just kidding , i was joking , i didnt mean to blaspheme two of the finest artists of the 20th century. please help me ! "" yeah , right. save it for confession al , irish catholic moms everywhere are gon na do stuff to you even god hasnt thought of yet. youll be lucky if they only "" sigh "" . if they get up to tears , and telling you the hours that it takes in childbirth , you are a dead man. i should know. love and kisses , j r sherman 
",1,1170,razavai
"let me make it clear that your decision is nuts 
",1,49,razavai
"I was stuck handing out postcards at fucking family values. The only good thing was going to the after party and drinking free beer and betting on which girl fred was going to take on the tour bus and blow him. danielle "" I was buying some feelings from a vending machine "" The Verve- 
",1,286,razavai
"just give me the name you pathetic little clown 
",1,49,razavai
"JC : But , you DID tie those two together without even knowing that I JC : am NOT part of Amino in any way , shape , or form. Your JC : extrapolation is faulty or your fact finding is faulty , one of JC : the two. I do not own or control any part of Amino , nor do I get JC : a say in what Bill and Fleecy do there. JC Fine. Gary , you have nothing to do with it. There. Feel JC better ? JC I remember a time when some thought I was participating in the ICOA within it. Hmmm. Blame that on Jason too ! he is into pain ! : ) Gary Peake , TAC-OwlNet.Net Team AMIGA Central We provide free web sites for small developers Sometimes you are the windshield , sometimes you are the bug ! 
",1,682,razavai
